VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
bXsKw3TOQXs,30,55,588702,unverified,65,Slovene,Nekdo z rokami prepogiba košček papirja.
5W02895vT8c,312,322,588702,unverified,52,Slovene,Potniško letalo vzleti na simulatorju.
PHDmVhShE80,20,29,588702,unverified,46,Slovene,Ženska z nožem nareže hobotnico.
6t0BpjwYKco,118,127,588702,unverified,45,Slovene,Ženska popraži sestavine v loncu.
xxHx6s_DbUo,41,44,588702,unverified,33,Slovene,Moški nese drugega moškega na hrbtu.
DIebwNHGjm8,133,148,588702,unverified,52,Slovene,Ženska se z vodnim skuterjem pelje po valovih.
fvXXLP6A4p4,109,119,588702,unverified,47,Slovene,Moški in ženska plešeta na pomolu.
39Ce7I6nXIw,96,104,588702,unverified,131,Slovene,Moški hodi ob konju in ga drži za povodec.
TJXEKN7nwUc,11,49,588702,unverified,84,Slovene,Pes poskuša priti skozi odprtino z palico v ustih.
0lh_UWF9ZP4,50,60,588702,unverified,49,Slovene,Ženska kuhanemu rižu primeša več sestavin.
BVilbVCo9sU,1,11,588702,unverified,42,Slovene,Mačka se igra z hroščem na tleh.
OUII8_aOfNM,60,69,808921,unverified,20,Spanish,Un carnicero cortando carne
JK1R9k1WDpc,6,15,588702,unverified,52,Slovene,Trop slonov hodi po poti.
u4kMN1jamdM,10,20,649387,unverified,41,Portuguese,Mulher andando de cavalo na praia.
7NNg0_n-bS8,21,30,588702,unverified,63,Slovene,Moški na odru poje in igra na akustično kitaro.
UXs3eq68ZjE,255,260,588702,unverified,40,Slovene,Moški premeša riž v loncu z vodo.
-_hbPLsZvvo,288,305,588702,unverified,80,Slovene,Ženska oblikuje hrano in jo povalja z začimbami.
wjH72cZ0GLM,1,10,588702,unverified,38,Slovene,Moški poriva avto.
32_A0-er4Ws,16,20,588702,unverified,42,Slovene,Ženska obira paradižnik na vrtu.
vE1gvaM3iAs,39,46,588702,unverified,82,Slovene,Moški drgne zgoščenko z cunjo.
MF88IYF2MHY,25,59,588702,unverified,133,Slovene,Mačka srepo gleda v kamero in kaže zobe.
H7vezmDeZaw,2,7,429648,unverified,34,Spanish,Un joven corre rápidamente para estrellarse contra una pared
BAf3LXFUaGs,28,38,588702,unverified,45,Slovene,Moški igra na bobne.
80D0ylOqPJ8,0,5,588702,unverified,105,Slovene,Pes lula ko stoji na sprednjih tacah.
ywMLb2VfHbI,13,20,588702,unverified,51,Slovene,Jež teče v vrtečem valju.
XZ0Ch_ClBfo,120,127,588702,unverified,40,Slovene,Moški stečejo v morje.
gMqKUPeTAkg,17,30,588702,unverified,47,Slovene,Maček pije vodo iz lijaka.
PmrTDZy3f2M,35,39,588702,unverified,46,Slovene,Košarkaš zabija v koš.
S-Civm_fbK8,20,26,588702,unverified,53,Slovene,Fant strelja na gol in ga zadane.
BtQtRGI0F2Q,15,20,588702,unverified,77,Slovene,Moškega strese elektrika na električnem drogu.
o_mWZWcm2r4,10,15,588702,unverified,36,Slovene,Fant pleza po umetni steni.
j2sOMdilDWU,87,97,588702,unverified,49,Slovene,Moški skicira na papir.
hcCLIzzB1jQ,1,7,588702,unverified,45,Slovene,Moški dela sklece z eno roko.
hJFBXHtxKIc,204,209,588702,unverified,82,Slovene,Moški polije rdeče vino po klobasah v loncu.
5K7Ru5s6YIw,8,11,907741,unverified,28,Turkish,kanguru yemek yiyor.
-wa0umYJVGg,168,176,889068,unverified,67,Turkish,Japon usulü ıspanak yemeği nasıl yapılır.
klteYv1Uv9A,27,33,588702,unverified,321,Slovene,Moški se v leže pelje na motorju.
swKrHEeOj9c,4,8,588702,unverified,63,Slovene,Mačka gleda in mijavka v steno.
qBFSt85-xqk,15,20,968828,unverified,317,German,Eine Frau giesst Milch in eine Teigschüssel.
z9qbQX4J_2g,0,14,588702,unverified,46,Slovene,Otroci pojejo na odru.
AjZ-R3LFMzo,18,23,588702,unverified,73,Slovene,Motorist izvaja trike na motorju.
WPG-BIWOrG4,672,677,588702,unverified,41,Slovene,Moški z nožem čisti ribo.
FWzsXeXCwuc,106,110,588702,unverified,38,Slovene,Opica pleza po pozlačenih kipih.
WPG-BIWOrG4,683,689,588702,unverified,116,Slovene,Moški se z nožem ureže v prst.
m1NR0uNNs5Y,160,166,588702,unverified,50,Slovene,Ženska olušči strok česna z rokami.
yC4eEuURH8c,19,28,588702,unverified,260,Slovene,Mlad maček hodi po postelji in mijavka.
30GeJHYoerk,80,85,588702,unverified,57,Slovene,Ženska rola med stebrički.
aRo8x3xXeEA,3,8,588702,unverified,178,Slovene,Border skoči na drogova in se z bordom drsa po njih.
-rvjK0lE3z4,33,43,588702,unverified,32,Slovene,Ženska z nožem nareže krompir.
yyxtyCaEVqk,329,360,588702,unverified,68,Slovene,Moški posipa začimbe po korenju.
1dmVuwO1RZk,214,220,588702,unverified,38,Slovene,Ljudje se peljejo v čolnu po jezeru.
Q-soOsOLIGQ,0,22,588702,unverified,58,Slovene,Moški uči fanta igrati kriket.
msCidKHOh74,410,418,332822,unverified,207,Indonesian,video klip musik india
NjCqtzZ3OtU,303,307,862064,unverified,179,Portuguese,Mulher põe barra de sabão na boca
v-9Gx0gJmfo,91,99,588702,unverified,41,Slovene,Ženska vesla v čolnu in pristane ob obali.
8MVo7fje_oE,113,118,588702,unverified,38,Slovene,Moški nastavi program na mikrovalovni pečici.
Lt1JijkvSKk,0,10,588702,unverified,49,Slovene,Opici podobna žival se igra z obeskom v avtu.
_O9kWD8nuRU,25,35,588702,unverified,42,Slovene,Ženska z nožem nareže hrano.
oFUsn1owAbs,158,168,588702,unverified,38,Slovene,Ženska se kopa v peneči kopeli.
Ea0thGZKPXA,25,35,283974,unverified,146,Portuguese,Garota muito talentosa toca Mozart com uma clarinete.
lsanQj2yacs,102,108,588702,unverified,46,Slovene,Punčka maže majonezo na kruh.
OpR1Er5o6IY,209,217,588702,unverified,54,Slovene,Moški hoče spustiti miško v terarij s kačo.
IhwPQL9dFYc,61,75,588702,unverified,46,Slovene,Ženska z nožem naseklja krompir.
kquB3rIgfGk,525,532,588702,unverified,44,Slovene,Moški reže kumaro na rezine z nožem.
dvhJGidrrKE,254,260,588702,unverified,37,Slovene,Dva moška se tepeta za žensko.
qRoxNXm7INc,58,66,588702,unverified,38,Slovene,Nekdo boža mačko.
dvhJGidrrKE,98,101,588702,unverified,47,Slovene,Moški udari žensko in ta pade po tleh.
16iNk1hLJt4,37,40,588702,unverified,48,Slovene,Moški se pripravljajo na štart teka.
ZdlG8fjGJlo,78,87,588702,unverified,76,Slovene,Moški prereže kos paprike in jo vrže v mešalnik.
lfGlDg47How,361,367,588702,unverified,48,Slovene,Moški meša sestavine v posodi z mešalnikom.
c2a0GcoJAjw,107,129,588702,unverified,55,Slovene,Dve ženski plešeta zunaj.
O06WXS_XZN0,0,6,577463,unverified,18,Danish,En mand kæler for en hund.
47D9-U8hn5I,11,16,588702,unverified,48,Slovene,Obuta mačka hodi po mizi in pade dol.
-_hbPLsZvvo,18,25,588702,unverified,55,Slovene,Ženska z nožem nareže kumaro.
c51L6ZxZGjQ,137,154,588702,unverified,61,Slovene,Ženska maže maslo na kruh.
-vKO3uSG6Do,3,14,588702,unverified,42,Slovene,Animirani liki plešejo in pojejo.
vfktGc_qx-w,2,18,588702,unverified,223,Slovene,Punca stoji na motorju medtem ko se fant z njim pelje po zadnjem kolesu.
zSPBC8EO6dY,122,126,588702,unverified,61,Slovene,Moški se rokujejo pred športnim letalom.
s7znbqra118,91,97,588702,unverified,98,Slovene,Skupina ljudi paradira po glavni cesti.
Tied-t1fFsk,15,20,588702,unverified,80,Slovene,Moški strelja na zelo oddaljeno tarčo.
u9prcUCHlqM,73,80,588702,unverified,43,Slovene,Fotograf nosi stojalo in govori v kamero.
aHiUM8uWxxo,17,25,588702,unverified,60,Slovene,Fanta spustita model letala v zrak.
mF6ijhSrbBQ,32,40,588702,unverified,59,Slovene,Vidra se drsa po snegu.
rw9h_574HxE,229,236,588702,unverified,64,Slovene,Moški in ženska se sprehajata in pogovarjata v parku.
_WRC7HXBJpU,414,425,588702,unverified,80,Slovene,Moški vlije vodo čez riž v ponvi.
9OvXb1fot74,21,29,588702,unverified,45,Slovene,Skupina žensk pleše na odru.
vZa13vJugGU,0,30,649387,unverified,44,Portuguese,Um homem tocando violão com os pés.
r4qv_BNlQNk,93,98,588702,unverified,59,Slovene,Moški si da v usta kos lubja.
dfOuTx66bJU,34,39,283974,unverified,109,Portuguese,Um homem corre num  parque cheio de arvores.
giLxPCgLLqg,9,19,675312,unverified,88,Russian,"Бейсбольный матч, кто-то отбил, а другой поймал мяч, упав на траву."
e996zZ0uV_A,152,163,588702,unverified,73,Slovene,Fant naliva zmes iz mešalnika v kozarce.
Ar70p1_LcfM,2,20,294030,unverified,38,Spanish,Un niño esta jugando en la computadora.
Kxa0mnDj0bs,113,124,588702,unverified,86,Slovene,Severni medved se plazi naprej z odrivanjem zadnjih nog.
ZlX_Gy4HP2E,38,55,588702,unverified,64,Slovene,Ženska izvaja telovadbo v dnevni sobi.
fr9H1WLcF1A,326,336,588702,unverified,39,Slovene,Otroci se spopadejo na dvorišču.
GPyFZMJ5Dow,56,70,588702,unverified,71,Slovene,Moški z rokami gnete mleto meso v posodi.
ZN2_czSBSD0,240,250,588702,unverified,156,Slovene,Moški teče proti tornadu.
v7NpKUVqjpI,23,40,588702,unverified,115,Slovene,Slon si podaja žogo z moškim.
eQcUmH0VE90,9,15,588702,unverified,45,Slovene,Moški z nahrbtnikom hodi po gozdu.
UbmZAe5u5FI,16,23,588702,unverified,36,Slovene,Ženska z nožem nareže kumaro na rezine.
s1ZABV7AQdA,38,48,649387,unverified,63,Portuguese,Um homem foge de uma multidão que o persegue.
_7nP9z6T9m8,11,17,649387,unverified,43,Portuguese,Homem de bicicleta bate em uma placa de trânsito.
3ytUOoa1SBE,12,23,588702,unverified,40,Slovene,Skupina ljudi pleše na odru.
_o1UXSxTjfo,68,80,588702,unverified,87,Slovene,Moški na ulici prodaja ljudem nekaj.
hW8TKz2Aea4,5,12,588702,unverified,43,Slovene,Nekdo drži ježa v roki.
V6Fxclwdfxc,56,66,968828,unverified,49,German,Ein Papagei trägt einen Ball im Schnabel eine Leiter hoch.
jlahRlo4jlU,30,36,588702,unverified,39,Slovene,Moški hodi po poti.
QT8iCDc7NGU,18,23,588702,unverified,49,Slovene,Ženska zunaj briše skrinjo.
p69d3UBdpR8,98,109,588702,unverified,36,Slovene,Ženska si liči oko.
nBFhvrAOFqY,89,103,588702,unverified,44,Slovene,Opica si sleče majico in hlače.
ysTmUTQ5wZE,17,45,649387,unverified,67,Portuguese,Um filhote de panda se arrastando pelo chão.
BtQEY2SL4g4,11,16,588702,unverified,68,Slovene,Mačka skoči iz visokega droga na tla.
yfMTsYcLt10,0,7,588702,unverified,57,Slovene,Fant steče in se zaleti v steno.
6pcqRuFEMLs,46,52,588702,unverified,53,Slovene,Fant pleza po drogu in steni.
cs33MNhpRNw,16,21,588702,unverified,53,Slovene,Moški od znotraj zapira vrata letala.
uqVCk2oDpSE,194,200,588702,unverified,37,Slovene,Moški z nožem prereže žemljo.
rwHT2SuNOi8,195,201,588702,unverified,41,Slovene,Moški polaga slanino na pekač.
q3I3R_gqy8M,73,79,588702,unverified,72,Slovene,Moški joka nad umrlo žensko.
6sKdTbRkahM,6,12,588702,unverified,46,Slovene,Moški z nožem razreže ananas.
ifS2nXfCyYo,4,34,862064,unverified,35,Portuguese,Porquinho da Índia come cenoura
QsKIlhn6if8,270,276,588702,unverified,37,Slovene,Moški in ženska se objemata.
HPFLN5azwtA,56,63,588702,unverified,54,Slovene,Jazbec koplje luknjo v zemljo.
YXixZrSxefk,6,15,588702,unverified,35,Slovene,Moški lupi krompir.
73vUksucPz8,12,20,588702,unverified,35,Slovene,Punca igra na violino.
CBD9h0jUq3w,1,7,649387,unverified,54,Portuguese,Um grupo de pessoas está jogando futebol em uma praia.
VoKJr0EOzCU,136,142,588702,unverified,44,Slovene,Nekdo razstavlja hladilnik.
_6OTzzK7t9Y,158,170,649387,unverified,19,Portuguese,Um homem está tocando piano.
Je3V7U5Ctj4,582,587,588702,unverified,52,Slovene,Moški potrese nasekljano čebulo po tortilji.
CHVhwcOg6y8,1,12,588702,unverified,49,Slovene,Dva fanta na kavču igrata video igrice.
J4otiwOjQy8,98,112,588702,unverified,59,Slovene,Moški z nožem nareže bučko.
tZzJ9dDnncY,37,41,588702,unverified,34,Slovene,Ženska pleše zunaj na cesti.
_WRC7HXBJpU,386,391,588702,unverified,38,Slovene,Moški strese riž v ponev.
EdrZtaBUXIo,25,29,588702,unverified,49,Slovene,Iz izrezljane buče se kadi dim.
5XxshEdcfAM,85,100,588702,unverified,58,Slovene,Moški pleše po steni in stropu.
ACOmKiJDkA4,161,170,588702,unverified,66,Slovene,Ženska da košček mesa v pest riža.
RSx5G0_xH48,12,17,588702,unverified,33,Slovene,Pes gleda gor in laja.
AEKPjVHSVZc,0,12,588702,unverified,55,Slovene,Moški oblečeni v velike maske plešejo na ulici.
00jrXRMlZOY,0,10,588702,unverified,55,Slovene,Nekdo s prstom boža žabo.
0hyZ__3YhZc,485,490,588702,unverified,41,Slovene,Moški meša enolončnico.
zpgW7m7_LZw,2,15,588702,unverified,49,Slovene,Fantek igra golf.
bQJQGoJF7_k,120,126,588702,unverified,252,Slovene,Moški z žličko meša vodo in začimbe v posodici.
ghynaoVNwZc,1,20,332822,unverified,54,Indonesian,teknik drift dgn vw polo
1rECrfrdNTo,200,207,588702,unverified,38,Slovene,Ženska ubije jajce v ponvo.
8PQiaurIiDM,94,99,327033,unverified,76,Russian,Мужчина разрезает подвешенный канат одним ударом меча.
4s_0-zIWEog,1,15,588702,unverified,66,Slovene,Moški v kuhinji je kosmiče in bere iz škatle.
dJEoDaA6VXc,1,19,588702,unverified,65,Slovene,Moški jaha na konju in strelja s pištolo v balone.
ZxqkAGNyo8A,12,22,588702,unverified,56,Slovene,Majhna punčka igra na otroške klaviature.
idXJu0BQRvo,2,6,588702,unverified,68,Slovene,Fant se pelje po vodnem toboganu.
crfrKqFp0Zg,15,25,588702,unverified,26,Slovene,Moški igra na flavto.
Pr5LQq42l4M,12,17,588702,unverified,92,Slovene,Moški skače in teče po mestnih objektih.
wNv74rvkAw8,30,40,588702,unverified,48,Slovene,Pet mačk je vsaka iz svojega krožnika.
c75SIlAjfjg,6,14,588702,unverified,37,Slovene,Otroci plešejo na odru.
_SNE2MYAotU,41,49,588702,unverified,107,Slovene,Ženska boža opici podobno majhno žival.
jjl2ZMdFCsw,130,142,588702,unverified,128,Slovene,Moški prikazuje borilne veščine z mečem.
HqbVbPvlDoM,0,11,588702,unverified,64,Slovene,Ženska vodi psa na razstavi.
q8t7iSGAKik,11,31,588702,unverified,51,Slovene,Moški izvaja trike z žogo.
4QdX5Q3qQsQ,6,14,588702,unverified,55,Slovene,Moški si zaskrbljeno grize prste.
R3a9r8qFlhQ,0,12,588702,unverified,76,Slovene,Moški odere in razseka kačo.
SzEbtbNSg04,111,117,588702,unverified,391,Slovene,Moški strese špagete v vrelo vodo.
MUkKFFdpm4E,121,135,588702,unverified,49,Slovene,Moški jaha in dresira konja.
MJoxGpEswOI,9,16,588702,unverified,145,Slovene,Košarkaš strelja na koš v leže in zadane.
ngHDYzhDBk4,5,14,588702,unverified,52,Slovene,Skupina žensk pleše v dnevni sobi.
6t0BpjwYKco,53,59,588702,unverified,43,Slovene,Ženska z nožem nareže kumaro.
KPPCwmU5OHQ,480,486,649387,unverified,39,Portuguese,Uma pessoa mistura comida em uma panela.
KWK7szRdbrE,80,90,649387,unverified,40,Portuguese,Um grupo de pessoas está dançando.
V--abChiVVc,30,40,588702,unverified,39,Slovene,Skupina moških pleše na pomolu.
nBJV56WUDng,38,47,649387,unverified,59,Portuguese,Um homem está descascando uma banana.
77iDIp40m9E,3,9,588702,unverified,39,Slovene,Pes se polula na drugega psa.
qhknaG9ifbs,122,127,588702,unverified,58,Slovene,Moški z macolo razbije veliko ledeno kocko.
hNECyt6Bo0A,5,10,588702,unverified,83,Slovene,Punci in fant izvajajo aerobiko.
I2eWXGaoWko,20,24,588702,unverified,44,Slovene,Moški in ženska se z avtom peljeta po cesti.
sWqi41wyXcQ,68,79,588702,unverified,55,Slovene,Mišičast moški dviguje uteži.
_QJbjKkfdcs,52,57,649387,unverified,26,Portuguese,Um homem está tocando violino.
iCiGjZEV7VI,65,75,588702,unverified,35,Slovene,Ženska si riše obrvi.
ywHBKayhyvQ,19,28,588702,unverified,61,Slovene,Fant hodi po visečem mostu.
0NPtAv3_uVI,46,54,588702,unverified,38,Slovene,Ženska deska na morju.
UnWgz-mVMXU,2,6,862064,unverified,49,Portuguese,Homem salta de um telhado para um poste de bandeira e desliza até ao chão.
ZsrPKtx0qyg,7,15,588702,unverified,52,Slovene,Pasji mladič sedi na stopnicah.
X7sQq-Iu1gQ,12,22,588702,unverified,40,Slovene,Moški poje pred mikrofonom.
HJHPB_Y8GZE,22,28,588702,unverified,45,Slovene,Pes se igra s svojo podobo v ogledalu.
_6OTzzK7t9Y,73,78,588702,unverified,247,Slovene,Nekdo meše moko in jajca v posodi.
MJNStEgDKXU,3,10,649387,unverified,51,Portuguese,Um cachorro se senta e late.
4ge5_V-xhP0,138,142,588702,unverified,70,Slovene,Moški vzame flašo iz hladilnika.
L9wD3kw-8FE,65,73,588702,unverified,47,Slovene,Moški z mačeto preseka deblo.
X_NLV2KCnIE,60,70,588702,unverified,102,Slovene,Rdeč avto raznese na travniku.
o2X6UCaNqKA,27,36,588702,unverified,37,Slovene,Moški teče in strelja na tarče.
tgm4dRGBeJ0,289,294,588702,unverified,44,Slovene,Moški se pelje s kolesom.
qeKX-N1nKiM,106,115,588702,unverified,52,Slovene,Ženska da vodo in moko v skledo in ju premeša.
ACOmKiJDkA4,121,128,588702,unverified,80,Slovene,Ženska popraži koščke mesa v ponvi.
zMg9dChF97A,12,38,649387,unverified,33,Portuguese,Um homem corta uma batata em cubinhos.
_yUiusXxfWI,150,165,588702,unverified,304,Slovene,Nekdo piha da zaneti netivo.
FH8vgAp4VDU,10,14,649387,unverified,51,Portuguese,Um homem está descendo escadas.
53dc4z7HLyg,25,29,588702,unverified,36,Slovene,Delfin skoči na žensko na pomolu.
BiVJel79edY,154,168,588702,unverified,44,Slovene,Moški poje in pleše na ulici.
0hyZ__3YhZc,410,417,588702,unverified,46,Slovene,Moški strese začimbe v žlico.
XtQdAPV2UZs,4,11,588702,unverified,498,Slovene,Moški dvigne avto z rokami.
J7zb8YXrmIA,93,99,649387,unverified,44,Portuguese,Um homem está andando de bicicleta.
C_1cnNdMwxY,0,8,649387,unverified,32,Portuguese,Um homem brinca com um cachorro.
kWLNZzuo3do,31,37,588702,unverified,101,Slovene,Ženska odvije embalažo s hrane.
WrsS6X-FB-I,30,47,675312,unverified,78,Russian,Кто-то режет хлеб.
VfqlfprZsaQ,75,85,588702,unverified,40,Slovene,Tri ženske plešejo v predstavi.
2G9fkvBzzQE,10,20,588702,unverified,65,Slovene,Papagaj govori v mikrofon.
-7KMZQEsJW4,205,208,588702,unverified,35,Slovene,Moški drži v rokah sončnice.
4lXdVS697DQ,10,25,588702,unverified,216,Slovene,Dva jadralca se nagibata čez jadrnico ko jadrata v vetru.
7uOiiA4Kxbo,23,35,588702,unverified,72,Slovene,Moški se pelje s kolesom z psom na hrbtu.
GcfWD62sbcs,13,33,588702,unverified,80,Slovene,Veverica hodi in skače z lončkom poveznenim čez glavo.
XdB0pVjFYoU,1,8,588702,unverified,53,Slovene,Mlada opica se oklepa roke v naročju.
QOmrchUPnBs,10,20,588702,unverified,29,Slovene,Moški igra na veliko flavto.
edqyq4Q-7uU,103,109,649387,unverified,40,Portuguese,Um homem está dançando.
xxHx6s_DbUo,32,36,588702,unverified,31,Slovene,Moški teče po cesti.
BnJUWwSx1kE,11,22,588702,unverified,44,Slovene,Debel vombat se sprehaja.
nd0ToNwccl4,12,17,588702,unverified,41,Slovene,Dva moška se pogovarjata na igrišču.
ggic669elLM,200,215,588702,unverified,55,Slovene,Moški animira lutko okostnjaka.
JXSkYkiKO0I,42,46,649387,unverified,46,Portuguese,Um homem fazendo flexões de braço.
6t0BpjwYKco,71,76,675312,unverified,42,Russian,Женщина чистит кусочек яблока.
ao-9B8IV9_E,175,187,588702,unverified,55,Slovene,Moški zleze v pasjo hišo in prežene psa.
KPPCwmU5OHQ,227,238,588702,unverified,61,Slovene,Moški vlije juho iz tetrapaka v lonec.
fX5G_JwPlLo,640,660,588702,unverified,222,Slovene,Moški z nožem odpira paket.
cFzSEIGrEfA,0,24,588702,unverified,81,Slovene,Nekdo z nožem odstranjuje luske iz ribe.
Ayh26v6Nies,17,22,588702,unverified,52,Slovene,Pasja mladiča se igrata z igračko.
Y4BeJ-64294,20,30,588702,unverified,56,Slovene,Moški strelja z puško v sod napolnjen z vodo.
Qtu-PXuvCx4,12,17,588702,unverified,55,Slovene,Majhen otrok je čokolado.
-DKuLXYoY3g,14,20,968828,unverified,107,German,Ein Kind dribbelt einen Basketball.
_0nX-El-ySo,83,93,588702,unverified,46,Slovene,Moški s škarjami zastriže v list papirja.
IhwPQL9dFYc,124,129,588702,unverified,30,Slovene,Ženska z nožem prereže tofu.
